Feature,Importance
Industry_ConvRate,0.2996091513528023
State_ConvRate,0.2833628029368633
Demo_x_Employees,0.13129904298242162
Demo_x_Revenue,0.12707198224587135
Source_ConvRate,0.06054669720404068
Industry_Encoded,0.02861351172008463
Source_Encoded,0.021052783420335612
Monthly_Revenue_Potential,0.009035621050618458
Days_Since_Created,0.006388539401430074
Revenue_Per_Employee,0.006285548079276154
Log_Revenue,0.005854108006985018
Log_Employees,0.005245675205398713
Month,0.00443601937363768
DayOfWeek,0.002949153708080119
State_Encoded,0.0027000702838521117
Employees,0.0026267734225864053
Quarter,0.001965013008770885
Demo_Booked,0.0006529959217406678
Employee_Bucket_Encoded,0.0003045106752042906
